ID,Case Number,Date,Block,IUCR,PrimaryType,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11434486,JB419896,09/02/2018 12:35:00 AM,021XX W EASTWOOD AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1911,19,47,4,5,1161506,1930865,2018,09/09/2018 03:57:45 PM,41.96597401,-87.68155654,"(41.965974005, -87.68155654)"
11449918,JB434683,09/02/2018 12:45:00 AM,069XX S LAFAYETTE AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,731,7,6,69,3,1177024,1859232,2018,09/21/2018 04:06:58 PM,41.7690705,-87.62666845,"(41.769070498, -87.626668445)"
11434259,JB419587,09/02/2018 01:30:00 AM,0000X W HUBBARD ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,1831,18,42,8,3,1175699,1903302,2018,09/09/2018 03:57:45 PM,41.89003202,-87.63020308,"(41.890032024, -87.630203077)"
11433665,JB418712,09/02/2018 01:50:00 AM,019XX W MAYPOLE AVE,650,BURGLARY,HOME INVASION,CHA APARTMENT,FALSE,FALSE,1223,12,27,28,5,1163381,1901040,2018,09/09/2018 03:57:45 PM,41.88409299,-87.67550381,"(41.884092985, -87.675503811)"
11433658,JB418751,09/02/2018 02:49:00 AM,060XX S ST LAWRENCE AVE,650,BURGLARY,HOME INVASION,APARTMENT,FALSE,TRUE,313,3,20,42,5,1181273,1865085,2018,09/09/2018 03:57:45 PM,41.78503484,-87.61091354,"(41.785034842, -87.610913544)"
11433657,JB418737,09/02/2018 02:53:00 AM,112XX S HALSTED ST,610,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,FALSE,2233,22,34,49,5,1172989,1830408,2018,09/09/2018 03:57:45 PM,41.6900635,-87.64230699,"(41.690063495, -87.642306987)"
11433669,JB418777,09/02/2018 03:18:00 AM,005XX S PULASKI RD,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,1132,11,24,26,3,1149812,1897228,2018,09/09/2018 03:57:45 PM,41.87390705,-87.72543009,"(41.873907046, -87.725430093)"
11433849,JB418959,09/02/2018 03:30:00 AM,006XX E GRAND AVE,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1834,18,42,8,3,1180796,1904058,2018,09/09/2018 03:57:45 PM,41.89199038,-87.6114615,"(41.891990384, -87.611461502)"
11435940,JB421226,09/02/2018 05:17:00 AM,011XX S CALIFORNIA AVE,610,BURGLARY,FORCIBLE ENTRY,DAY CARE CENTER,FALSE,FALSE,1135,11,28,29,5,1157864,1894933,2018,09/09/2018 03:57:45 PM,41.86744904,-87.69592941,"(41.867449044, -87.695929408)"
11438979,JB425652,09/02/2018 05:40:00 AM,036XX W DOUGLAS BLVD,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,1011,10,24,29,3,1152167,1893044,2018,09/09/2018 03:57:45 PM,41.86237959,-87.7168939,"(41.862379586, -87.7168939)"
11436430,JB422437,09/02/2018 05:45:00 AM,004XX S KOSTNER AVE,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,FALSE,FALSE,1131,11,24,26,3,1147129,1897553,2018,09/09/2018 03:57:45 PM,41.87485061,-87.73527258,"(41.874850606, -87.735272577)"
11433911,JB418822,09/02/2018 05:50:00 AM,001XX S CICERO AVE,330,ROBBERY,AGGRAVATED,GAS STATION,FALSE,FALSE,1113,11,28,25,3,1144415,1898849,2018,09/09/2018 03:57:45 PM,41.87845845,-87.74520475,"(41.878458449, -87.745204753)"
11434085,JB418938,09/02/2018 06:00:00 AM,018XX W ARGYLE ST,610,BURGLARY,FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2032,20,47,4,5,1163208,1933242,2018,09/09/2018 03:57:45 PM,41.97246089,-87.67523149,"(41.972460894, -87.675231487)"
11433832,JB418835,09/02/2018 06:30:00 AM,026XX N ORCHARD ST,320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,FALSE,FALSE,1935,19,43,7,3,1171134,1918234,2018,09/09/2018 03:57:45 PM,41.93110766,-87.64652857,"(41.93110766, -87.646528573)"
11433773,JB418863,09/02/2018 06:30:00 AM,003XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,CTA TRAIN,FALSE,FALSE,113,1,2,32,3,1176426,1898874,2018,09/09/2018 03:57:45 PM,41.87786497,-87.62766695,"(41.877864969, -87.627666954)"
11433783,JB418838,09/02/2018 06:40:00 AM,006XX W ARLINGTON PL,330,ROBBERY,AGGRAVATED,HOTEL/MOTEL,FALSE,FALSE,1935,19,43,7,3,1171622,1916637,2018,09/09/2018 03:57:45 PM,41.92671468,-87.64478241,"(41.926714681, -87.644782411)"
11433785,JB418834,09/02/2018 06:54:00 AM,009XX W GEORGE ST,330,ROBBERY,AGGRAVATED,STREET,FALSE,FALSE,1933,19,44,6,3,1169506,1919450,2018,09/09/2018 03:57:45 PM,41.93448005,-87.65247563,"(41.93448005, -87.65247563)"
11433759,JB418880,09/02/2018 07:15:00 AM,0000X N HOMAN BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,FALSE,FALSE,1123,11,28,27,3,1153708,1900256,2018,09/09/2018 03:57:45 PM,41.88213959,-87.71104513,"(41.882139587, -87.71104513)"
11436902,JB423084,09/02/2018 07:30:00 AM,025XX W GRENSHAW ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1135,11,28,28,5,1159713,1894961,2018,09/09/2018 03:57:45 PM,41.867488,-87.68914066,"(41.867488004, -87.689140657)"
11433873,JB418868,09/02/2018 07:30:00 AM,053XX N KENMORE AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,2023,20,48,77,3,1168289,1935574,2018,09/09/2018 03:57:45 PM,41.97875134,-87.65648006,"(41.978751343, -87.656480057)"
11433770,JB418862,09/02/2018 07:30:00 AM,014XX N DEARBORN ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,FALSE,FALSE,1824,18,42,8,3,1175664,1910065,2018,09/09/2018 03:57:45 PM,41.90859082,-87.63012803,"(41.908590818, -87.630128032)"
11434287,JB419599,09/02/2018 08:10:00 AM,019XX S PULASKI RD,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,GAS STATION,FALSE,FALSE,1012,10,24,29,3,1150020,1890290,2018,09/09/2018 03:57:45 PM,41.85486431,-87.72484696,"(41.854864309, -87.724846958)"
11433870,JB419032,09/02/2018 08:30:00 AM,023XX W GRENSHAW ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1225,12,25,28,5,1160772,1894985,2018,09/09/2018 03:57:45 PM,41.86753199,-87.68525223,"(41.867531989, -87.685252232)"
11435862,JB421532,09/02/2018 09:00:00 AM,016XX N MERRIMAC AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,2513,25,29,25,5,1134394,1910170,2018,09/09/2018 03:57:45 PM,41.90970731,-87.78173309,"(41.909707307, -87.781733092)"
11434104,JB419326,09/02/2018 09:00:00 AM,020XX W IRVING PARK RD,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1911,19,47,5,5,1161839,1926552,2018,09/09/2018 03:57:45 PM,41.95413197,-87.68045299,"(41.954131965, -87.680452988)"
11433851,JB418941,09/02/2018 09:10:00 AM,046XX S CALUMET AVE,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,FALSE,FALSE,215,2,3,38,3,1179211,1874428,2018,09/09/2018 03:57:45 PM,41.81072018,-87.61818868,"(41.810720178, -87.618188676)"
11433794,JB418913,09/02/2018 09:10:00 AM,040XX N KENMORE AVE,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,FALSE,FALSE,1915,19,46,3,3,1168444,1927034,2018,09/09/2018 03:57:45 PM,41.95531395,-87.65615827,"(41.955313947, -87.656158266)"
